location,beds,bath,price,year_built,sqft,price_per_sqft
New York,2,1,999000,1960,1000,999
New York,2,2,2749502,2006,1418,1939
New York,2,2,1350200,1900,2150,628
New York,1,1,629000,1903,500,1258
New York,0,1,439000,1930,500,878
New York,0,1,439000,1930,500,878
New York,1,1,475000,1920,500,950
New York,1,1,974700,1930,900,1083
New York,1,1,974700,1930,900,1083
New York,2,1,1895000,1921,1000,1895
New York,3,3,2094400,1926,2200,952
New York,1,1,998816,1982,784,1274
New York,1,1,998816,1982,784,1274
New York,1,1,1248912,1987,826,1512
New York,0,1,1109820,2008,698,1590
New York,2,2,2059500,2008,1373,1500
New York,2,2,2000400,1928,1200,1667
New York,1,1,715188,1903,557,1284
New York,2,2,2498580,2005,1260,1983
New York,2,1.5,2650000,1915,2500,1060
New York,2,2,3450250,1900,1850,1865
New York,1,1,3104616,2016,1108,2802
New York,4,5,13749183,2016,3699,3717
New York,2,2,1185000,1900,1000,1185
New York,1,2,1699500,1900,1500,1133
New York,1,1,1194649,1900,1093,1093
New York,1,1,450000,1920,500,900
New York,1,1,1194649,1900,1093,1093
New York,2,2,1185000,1900,1000,1185
New York,0,1,624800,1964,800,781
New York,2,2,3159500,2012,1420,2225
New York,2,2,2199650,1920,2050,1073
New York,2,2,4894400,2016,1520,3220
New York,2,2,6524194,2016,2018,3233
New York,2,2,4894400,2016,1520,3220
New York,2,2,6524194,2016,2018,3233
New York,2,2,1674575,2006,1225,1367
New York,2,2,1674575,2006,1225,1367
New York,2,1,998750,1985,799,1250
New York,1,1,1550000,1926,1000,1550
New York,1,1,1595076,2015,714,2234
New York,2,2,3996000,1906,2400,1665
New York,1,1,1285284,2012,749,1716
New York,1,1,1595076,2015,714,2234
New York,2,2,3996000,1906,2400,1665
New York,2,2,4995232,1900,2024,2468
New York,3,2,3579000,1880,3000,1193
New York,3,3,6350000,2015,2500,2540
New York,3,3,6550000,2015,2500,2620
New York,3,3,5986200,1909,3300,1814
New York,3,3,9900200,2015,2950,3356
New York,1,1,1849400,1920,1400,1321
New York,2,2,3500000,1915,2000,1750
New York,2,2,3500385,1910,1887,1855
New York,1,1,1249920,2007,720,1736
New York,2,1,898720,1990,820,1096
New York,1,2,1950000,1900,1300,1500
New York,1,1,1750000,1963,1000,1750
New York,0,1,774774,2009,546,1419
New York,0,1,389950,1955,550,709
New York,0,1,700000,1988,500,1400
New York,1,1,648750,1965,750,865
New York,2,2,1200000,1964,1200,1000
New York,0,1,319000,1941,500,638
New York,0,1,700000,1988,500,1400
New York,0,1,774774,2009,546,1419
New York,1,1,648750,1965,750,865
New York,2,2,1848915,2009,1135,1629
New York,1,1,615000,1960,750,820
New York,1,1,1589625,2008,785,2025
New York,1,1,1150035,2014,645,1783
New York,2,2,2649880,2014,1240,2137
New York,0,1,469000,1932,500,938
New York,0,1,569064,1962,543,1048
New York,1,1,549000,1924,750,732
New York,2,2,799000,1928,850,940
New York,2,2,879200,1928,800,1099
New York,2,3,2998400,1925,3200,937
New York,2,3,2998400,1925,3200,937
New York,2,3,2998400,1925,3200,937
New York,2,3,2998400,1925,3200,937
New York,1,1,399000,1910,475,840
New York,1,1,1134705,2005,715,1587
New York,1,1,1145200,2005,700,1636
New York,1,1,1760350,1969,950,1853
New York,2,2,1724592,2005,976,1767
New York,2,2,2750008,2007,1384,1987
New York,2,2,2750008,2007,1384,1987
New York,1,1,399000,1910,475,840
New York,2,2,1725152,2005,1144,1508
New York,1,1,868990,1988,670,1297
New York,1,1,1760350,1969,950,1853
New York,3,3,1249500,1962,1500,833
New York,3,3,1500800,1962,1600,938
New York,1,1,1134705,2005,715,1587
New York,1,1,1145200,2005,700,1636
New York,2,2,1724592,2005,976,1767
New York,2,2,3499900,1925,1550,2258
New York,0,1,525000,1940,525,1000
New York,2,2,2024829,1940,1433,1413
New York,2,2,3499496,1986,1463,2392
New York,0,1,924885,1978,585,1581
New York,2,2,1699816,1982,1007,1688
New York,2,2,1699816,1982,1007,1688
New York,0,1,448800,1962,550,816
New York,0,1,299200,1930,400,748
New York,1,1,694800,1961,720,965
New York,1,1,694800,1961,720,965
New York,4,5,17751816,2012,4476,3966
New York,5,5,27502500,1930,7500,3667
New York,0,1,538835,1957,485,1111
New York,0,1,778752,1975,512,1521
New York,1,1,925290,1985,745,1242
New York,1,1,1319000,1958,1000,1319
New York,2,2,4239335,2016,1741,2435
New York,2,2,4285391,2016,1747,2453
New York,3,3,4875089,2016,2017,2417
New York,3,3,14950385,1931,4435,3371
New York,3,3,10223800,2016,3007,3400
New York,4,4,13400613,2016,3331,4023
New York,5,5,18998012,2016,4972,3821
New York,0,1,538835,1957,485,1111
New York,1,1,835100,1963,700,1193
New York,10,10,7993600,1910,6400,1249
New York,0,1,349200,1960,400,873
New York,1,1,588000,1970,600,980
New York,2,2,8690220,2002,2178,3990
New York,2,2,4194750,2016,1750,2397
New York,2,2,4194736,2016,1742,2408
New York,2,2,4239335,2016,1741,2435
New York,2,2,4285391,2016,1747,2453
New York,3,3,4875089,2016,2017,2417
New York,3,3,5749128,2016,2196,2618
New York,3,3,9351348,2016,3054,3062
New York,3,3,10223800,2016,3007,3400
New York,4,4,13148382,2016,3338,3939
New York,4,4,13400613,2016,3331,4023
New York,5,5,18998012,2016,4972,3821
New York,0,1,850122,1924,546,1557
New York,7,7,19499038,1994,4238,4601
New York,1,1,1000008,1912,612,1634
New York,0,1,485150,1902,310,1565
New York,3,2,7349650,1999,2075,3542
New York,1,1,1200000,1969,600,2000
New York,2,2,4250304,2011,1504,2826
New York,2,2,3600580,1960,1340,2687
New York,2,2,3600580,1960,1340,2687
New York,1,1,525000,1924,700,750
New York,0,1,544896,1900,387,1408
New York,1,1,535050,1900,450,1189
New York,4,4,5500800,1923,3200,1719
New York,4,5,11999100,1939,3700,3243
New York,1,2,1849995,2007,839,2205
New York,1,1,535050,1900,450,1189
New York,2,2,1349400,1931,1300,1038
New York,1,1,779100,1902,700,1113
New York,2,1,1474949,1973,971,1519
New York,2,2,1385280,1971,962,1440
New York,1,1,779100,1902,700,1113
New York,1,1,648800,1929,800,811
New York,0,1,724800,1960,600,1208
New York,2,1,925090,1941,790,1171
New York,1,1,964862,1961,787,1226
New York,2,1,1250340,1922,1145,1092
New York,1,1,650160,1907,720,903
New York,2,1,385400,1999,820,470
New York,2,2,1695263,2012,1051,1613
New York,1,1,599960,1899,1060,566
New York,2,1,909480,1899,1060,858
New York,8,7,2299000,1910,4180,550
New York,1,1,599960,1899,1060,566
New York,2,1,909480,1899,1060,858
New York,2,2,1598800,1973,1400,1142
New York,2,2,4625655,1987,1695,2729
New York,0,1,325125,1910,375,867
New York,2,2,1598800,1973,1400,1142
New York,2,2,1964410,2005,1330,1477
New York,1,1,735200,1928,800,919
New York,2,2,4625655,1987,1695,2729
New York,1,1,749046,2011,762,983
New York,1,1,499743,2011,669,747
New York,1,1,749046,2011,762,983
New York,2,2,903303,1920,1503,601
New York,2,2,903303,1920,1503,601
New York,2,1,560400,1925,1200,467
New York,2,1,545480,1939,1049,520
New York,2,1,364700,1925,700,521
New York,2,1,364700,1925,700,521
New York,1,1,934496,1910,1102,848
New York,0,1,819754,2013,533,1538
New York,0,1,835167,2013,501,1667
New York,1,1,934496,1910,1102,848
New York,1,1,1420032,2004,768,1849
New York,1,1,1549888,2004,794,1952
New York,2,2,1634556,2004,957,1708
New York,1,1,1549888,2004,794,1952
New York,1,1,1780376,2007,988,1802
New York,2,2,2800428,2007,1308,2141
New York,1,1,411372,1921,586,702
New York,2,2,2174634,1999,1569,1386
New York,2,2,1995084,1996,1044,1911
New York,2,2,2235312,1999,1548,1444
New York,4,4,8799964,1941,3382,2602
New York,2,2,1849968,1996,1044,1772
New York,2,2,1995084,1996,1044,1911
New York,1,1,1695240,1927,680,2493
New York,1,1,1495125,1962,1125,1329
New York,2,2,2199708,2000,1044,2107
New York,0.5,1,385020,1962,540,713
New York,1,1,514750,1962,725,710
New York,3,2,1950400,1956,1600,1219
New York,0,1,306900,1910,330,930
New York,2,2,1735575,1980,1585,1095
